id,subject,question
248,algebra,What is the value of x in the equation 3(x - 2) = 2(x + 5)?
249,algebra,Solve for x: x/4 + x/2 = 6.
250,algebra,What is the equation of a line that passes through the points (1. 2) and (3. 6)?
251,algebra,If the graph of y = 5x is reflected over the y-axis what is the new equation?
252,algebra,What is the y-intercept of the line represented by the equation 3x - 4y = 12?
253,algebra,Solve the equation: x^2 + x - 20 = 0.
254,algebra,What are the solutions of the inequality x^2 - 9 < 0?
255,algebra,If y = 3x^2 and x = 2 what is the value of y?
256,algebra,How do you determine if a point lies on a line given by an equation?
257,algebra,What is the equation in slope-intercept form for a line with a y-intercept of -3 and a slope of 1/2?
258,algebra,Expand the expression (x - 3)(x + 2).
259,algebra,If a linear equation is represented by y = -2x + 5 what is the slope?
260,algebra,How do you find the area of a triangle with base b and height h?
261,algebra,What is the standard form of the equation of a circle with center (h. k) and radius r?
262,algebra,What is the solution to the system of equations x + y = 7 and x - y = 3?
263,algebra,Solve for x: 2(2x + 3) = 3(x - 1).
264,algebra,If a line has a y-intercept of -4 and a slope of 1/2 what is the equation of the line?
265,algebra,How do you convert a linear equation from standard form to slope-intercept form?
266,algebra,What is the sum of the solutions of the equation x^2 - 8x + 15 = 0?
267,algebra,If the graph of a line passes through (0. 0) and (3. 6) what is the slope of the line?
268,algebra,Solve the inequality: 5x + 3 ≥ 2x - 4.
269,algebra,What is the axis of symmetry for the parabola represented by the equation y = x^2 - 6x + 8?
270,algebra,If the profit P is directly proportional to the number of sales S and P = 200 when S = 50 what is the constant of proportionality?
271,algebra,How do you find the roots of a quadratic equation?
272,algebra,What is the equation of a line perpendicular to y = -2x + 3 and passing through (1. -3)?
273,algebra,Solve for x: 7x/3 = 14.
274,algebra,If a quadratic equation has a vertex at (3. -2) what is the axis of symmetry?
275,algebra,What is the value of x in the equation 5 - 3x = x + 9?
276,algebra,How do you determine the slope of a line from a graph?
277,algebra,What is the standard form of a linear equation?
278,algebra,Solve the equation: x/5 - x/3 = 2.
279,algebra,If y = 3x and y = 12 what is the value of x?
280,algebra,What are the solutions to the equation x^2 + 2x - 8 = 0?
281,algebra,How do you solve a system of linear equations by substitution?
282,algebra,What is the product of (x + 6) and (x - 4)?
283,algebra,If the cost C of making x items is represented by C = 2x + 300 what is the cost of making 50 items?
284,algebra,What is the slope of the line represented by the equation y - 2x = 6?
285,algebra,Simplify the expression x(x - 4) - 5(x - 4).
286,algebra,What is the y-intercept of the line y = -3x + 7?
287,algebra,Solve the quadratic equation x^2 + 10x + 25 = 0.
288,algebra,What are the x-intercepts of the graph of the equation y = x^2 - 2x - 3?
289,algebra,If the perimeter of a square is 4x what is the length of one side of the square?
290,algebra,What is the equation in standard form of a line that passes through (5. -3) and has a slope of 4?
291,algebra,Solve for x: 2(3x - 4) = 5(2x + 1).
292,algebra,What is the simplified form of the expression 2x^2 + 3x - 5x^2 - 2x?
293,algebra,If a line passes through the points (1. 2) and (3. 8) what is the slope of the line?
294,algebra,How do you find the discriminant of a quadratic equation and what does it tell you?
295,algebra,What is the solution to the inequality x^2 + x > 12?
296,algebra,If y = 4x and x = 3 what is the value of y?
297,algebra,How do you determine if two lines are parallel perpendicular or neither?
298,algebra,What is the solution to the system of equations x + 2y = 6 and 2x - y = 3?
299,algebra,Factor the expression x^2 + 7x + 10.
300,algebra,What is the value of x in the equation 4x = x + 15?
301,algebra,How do you graph the equation y = 2x - 5?
302,algebra,What is the slope of the line represented by the equation 3y + 6x = 12?
